cell,vertex,x,y
76,0,-4.5,4
76,1,-4.375,3.375
76,2,-4.25,3.75
77,0,-4.625,5.25
77,1,-4.375,5
77,2,-4.5,5.25
78,0,-4.375,2.125
78,1,-4.25,1.25
78,2,-4.25,1.75
79,0,-4.625,5.5
79,1,-4.5,5.25
79,2,-4.375,5.375
80,0,-4.25,0.75
80,1,-4.125,-0.125
80,2,-4.125,0
81,0,-4.75,5.75
81,1,-4.375,5.375
81,2,-4.375,5.5
82,0,-4.125,0.375
82,1,-4,-0.625
82,2,-4,-0.125
83,0,-4.75,5.75
83,1,-4.375,5.5
83,2,-4.5,5.625
84,0,-4.25,0.875
84,1,-4.125,0
84,2,-4.125,0.375
85,0,-4.375,2.125
85,1,-4.25,2.375
85,2,-4.375,2.875
86,0,-4.25,0.75
86,1,-4.125,0
86,2,-4.25,0.875
87,0,-2.875,-1.375
87,1,-2.75,-1.75
87,2,-2.75,-1.375
88,0,-3.875,-0.5
88,1,-3.625,-0.625
88,2,-3.75,-0.25
89,0,-4.25,2.375
89,1,-4,1.625
89,2,-4,2.5
90,0,-4.125,5.25
90,1,-3.625,4.75
90,2,-3.875,5.125
91,0,-4.125,0.625
91,1,-4,0.25
91,2,-3.875,0.375
92,0,-4.375,2.875
92,1,-4,2.5
92,2,-4.375,3.375
93,0,-4.125,0.625
93,1,-4,-0.125
93,2,-4,0.25
94,0,-4.25,0.875
94,1,-4.125,0.375
94,2,-4.125,0.625
95,0,-4.5,4.25
95,1,-4.25,3.75
95,2,-4.5,4.875
96,0,-4.25,0.875
96,1,-4.125,0.625
96,2,-4.25,1
97,0,-4.375,5.375
97,1,-4.25,5.375
97,2,-4.375,5.5
98,0,-4,1.25
98,1,-3.75,0.625
98,2,-4,1.625
99,0,-4.5,5.25
99,1,-4.25,4.875
99,2,-4.375,5.375
100,0,-3.875,1.875
100,1,-3.375,1.375
100,2,-3.75,2.125
101,0,-4.375,5.5
101,1,-4.25,5.375
101,2,-4,5.25
102,0,-4.25,1.25
102,1,-4.125,1
102,2,-4.25,1.75
103,0,-3.625,-1
103,1,-3.375,-1.125
103,2,-3.625,-0.625
104,0,-4.25,1.75
104,1,-4.125,1
104,2,-4,1.625
105,0,-4.125,-0.125
105,1,-4,-1
105,2,-4,-0.875
106,0,-4.125,0
106,1,-4,-0.875
106,2,-4,-0.625
107,0,-4.25,3.75
107,1,-3.75,3.875
107,2,-4.125,4.5
108,0,-4.125,-0.125
108,1,-4,-0.875
108,2,-4.125,0
109,0,-4.5,4.875
109,1,-4.25,3.75
109,2,-4.125,4.5
110,0,-4.375,3.375
110,1,-4,2.75
110,2,-4.125,3.125
111,0,-4.125,4.5
111,1,-3.75,3.875
111,2,-3.875,4.25
112,0,-4.125,0
112,1,-4,-0.625
112,2,-4.125,0.375
113,0,-3.875,4.625
113,1,-3.625,4.75
113,2,-3.875,4.75
114,0,-4.125,1
114,1,-4,1.25
114,2,-4,1.625
115,0,-4.375,5
115,1,-4.125,4.5
115,2,-4.25,4.875
116,0,-4,-0.125
116,1,-3.875,0.375
116,2,-4,0.25
117,0,-4.375,3.375
117,1,-4.125,3.125
117,2,-4.25,3.75
118,0,-3.5,-0.5
118,1,-3.25,-1.125
118,2,-3,-0.625
119,0,-4.25,3.75
119,1,-4.125,3.125
119,2,-4,2.75
120,0,-4.25,5.375
120,1,-4.125,5.25
120,2,-3.875,5.125
121,0,-3.875,5.125
121,1,-3.625,4.875
121,2,-3,4.375
122,0,-4.375,5.375
122,1,-4.125,5.125
122,2,-4.125,5.25
123,0,-4,-0.875
123,1,-3.875,-0.875
123,2,-3.875,-0.5
124,0,-4,1.625
124,1,-3.875,1.875
124,2,-4,2.5
125,0,-4,-1
125,1,-3.875,-1.125
125,2,-4,-0.875
126,0,-4.25,4.875
126,1,-4.125,4.5
126,2,-3.875,4.5
127,0,-4,-0.875
127,1,-3.875,-1.125
127,2,-3.875,-0.875
128,0,-4.125,4.5
128,1,-3.875,4.25
128,2,-3.875,4.5
129,0,-4.125,1
129,1,-3.75,0.625
129,2,-4,1.25
